Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1287633,-,-,-,46.45,-72.66,-5,90,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),,,,,,,,,,,,,,,,,,,,,,
2017,5,2,12,30,243,12,253,129,874,870,4,9,32.1,0,0.124,0.6,1.994,226.4,75.38,14,980,15.291,12.0293,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,13,0,125,0,125,138,849,840,4,9,34.34,0,0.124,0.6,1.995,227,74.87,14,980,7.5256,5.9188,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,13,30,67,0,67,136,838,802,4,9,37.49,0,0.124,0.6,2.005,227,74.86,14,980,4.009,3.1517,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,14,0,149,1,149,139,811,749,4,9,41.33,0,0.124,0.6,2.015,226.7,74.7,14,980,8.8375,6.9437,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,14,30,135,791,687,135,791,687,1,9,45.66,0,0.124,0.5,2.003,226.7,79.71,13,980,40.2665,31.6108,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,15,0,216,13,225,127,768,617,4,9,50.33,0,0.124,0.5,1.991,225.8,81.29,13,980,12.9825,10.1797,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,15,30,68,0,68,120,734,539,4,9,55.24,0,0.124,0.5,1.952,225.8,86.79,12,980,3.8438,3.0089,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,16,0,210,86,253,109,700,456,8,10,60.29,0,0.124,0.5,1.913,224.2,89.11,12,980,13.9243,10.8736,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,16,30,169,78,202,99,644,367,8,10,65.43,0,0.124,0.5,1.868,224.2,95.19,11,980,10.7398,8.3566,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,17,0,132,65,154,83,592,279,4,9,70.59,4,0.124,0.5,1.824,229.4,92.8,11,980,7.842,6.0682,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,17,30,93,49,105,69,495,191,8,9,75.73,4,0.124,0.5,1.797,229.4,99.19,10,980,5.1028,3.9163,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,18,0,55,26,60,50,369,109,4,9,80.81,4,0.124,0.5,1.77,235.2,96.13,10,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,18,30,22,0,22,26,179,40,4,9,85.77,4,0.124,0.5,1.761,235.2,100,9,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,19,0,0,0,0,0,0,0,4,9,90.59,0,0.124,0.5,1.752,236.1,100,9,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,19,30,0,0,0,0,0,0,4,9,95.21,0,0.124,0.5,1.75,236.1,100,9,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,20,0,0,0,0,0,0,0,4,8,99.57,0,0.124,0.5,1.749,231.6,98.26,9,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,20,30,0,0,0,0,0,0,4,8,103.63,0,0.124,0.5,1.746,231.6,100,8,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,21,0,0,0,0,0,0,0,4,8,107.32,0,0.124,0.6,1.743,226.8,100,8,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,21,30,0,0,0,0,0,0,8,7,110.56,0,0.124,0.6,1.727,226.8,100,7,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,22,0,0,0,0,0,0,0,8,7,113.28,0,0.124,0.6,1.711,221.7,100,7,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,22,30,0,0,0,0,0,0,8,6,115.42,0,0.124,0.6,1.694,221.7,100,7,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,23,0,0,0,0,0,0,0,4,6,116.91,0,0.124,0.6,1.678,215.7,100,7,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,2,23,30,0,0,0,0,0,0,6,6,117.69,0,0.124,0.5,1.67,215.7,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,0,0,0,0,0,0,0,0,8,6,117.75,0,0.124,0.5,1.662,212.9,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,0,30,0,0,0,0,0,0,6,6,117.08,0,0.124,0.5,1.659,212.9,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,1,0,0,0,0,0,0,0,8,6,115.69,0,0.124,0.5,1.657,215.1,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,1,30,0,0,0,0,0,0,8,6,113.65,0,0.124,0.5,1.66,215.1,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,2,0,0,0,0,0,0,0,4,5,111.01,0,0.124,0.5,1.664,222.2,99.96,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,2,30,0,0,0,0,0,0,4,5,107.84,0,0.124,0.5,1.668,222.2,99.99,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,3,0,0,0,0,0,0,0,4,5,104.22,0,0.124,0.5,1.673,230.4,99.37,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,3,30,0,0,0,0,0,0,4,5,100.22,0,0.124,0.5,1.667,230.4,99.41,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,4,0,0,0,0,0,0,0,4,5,95.89,0,0.124,0.5,1.661,238.4,99.11,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,4,30,0,0,0,0,0,0,4,5,91.31,0,0.124,0.5,1.635,238.4,99.16,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,5,0,4,0,4,22,153,32,4,5,86.51,4,0.124,0.5,1.61,244.9,99.97,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,5,30,15,0,15,46,354,98,4,6,81.56,4,0.124,0.5,1.568,244.9,100,6,980,0,0,,,,,,,,,,,,,,,,,,,,,,
2017,5,3,6,0,28,0,28,58,539,184,4,6,76.49,4,0.124,0.5,1.526,254,100,6,980,1.3527,1.0367,,,,,,,,,,,,,,,,,,,,,,
